Texas Counties,County FIPS_x,Dollars,County FIPS_y,Uninsured Percent,County FIPS_x,White Poverty %,County FIPS_y,Black Poverty %,County FIPS_x,Asian Poverty %,County FIPS_y,Foreign Poverty %,County FIPS_x,Native Poverty %,County FIPS_y,Hispanic Poverty %,County FIPS,Non Hispanic Poverty %
107,"Taylor, Texas",48441.0,57811,48441.0,2.8,48441.0,73.7,48441.0,7.8,48441.0,2.4,48441.0,6.7,48441.0,0.3,48441.0,25.3,48441.0,74.7
108,"Hill, Texas",48217.0,57800,48217.0,5.5,48217.0,82.2,48217.0,6.2,48217.0,0.9,48217.0,7.2,48217.0,0.7,48217.0,21.6,48217.0,78.4
109,"Hopkins, Texas",48223.0,57745,48223.0,4.5,48223.0,82.3,48223.0,7.0,48223.0,1.0,48223.0,7.8,48223.0,0.4,48223.0,17.5,48223.0,82.5
110,"Lavaca, Texas",48285.0,57602,48285.0,3.2,48285.0,78.3,48285.0,6.0,48285.0,0.4,48285.0,4.7,48285.0,0.1,48285.0,19.7,48285.0,80.3
111,"Ochiltree, Texas",48357.0,57413,48357.0,1.9,48357.0,76.4,48357.0,0.8,48357.0,0.5,48357.0,27.7,48357.0,0.7,48357.0,55.6,48357.0,44.4
112,"Hutchinson, Texas",48233.0,57288,48233.0,7.3,48233.0,80.6,48233.0,2.2,48233.0,1.1,48233.0,5.0,48233.0,1.8,48233.0,24.2,48233.0,75.8
113,"Jack, Texas",48237.0,56916,48237.0,6.6,48237.0,90.1,48237.0,4.3,48237.0,0.6,48237.0,5.0,48237.0,no data/suppressed,48237.0,17.5,48237.0,82.5
114,"Erath, Texas",48143.0,56691,48143.0,5.6,48143.0,86.0,48143.0,1.4,48143.0,1.2,48143.0,7.9,48143.0,1.4,48143.0,21.7,48143.0,78.3
115,"Gregg, Texas",48183.0,56566,48183.0,3.7,48183.0,67.4,48183.0,19.5,48183.0,1.1,48183.0,8.2,48183.0,0.1,48183.0,19.4,48183.0,80.6
116,"Lubbock, Texas",48303.0,56529,48303.0,4.4,48303.0,74.1,48303.0,7.3,48303.0,2.4,48303.0,6.3,48303.0,0.7,48303.0,36.4,48303.0,63.6
