,County,FIPS,Income,Uninsured %,White Poverty %,Black Poverty %,Asian Poverty %,Foreign Poverty %,Native Poverty %,Hispanic Poverty %,County FIPS,Non Hispanic Poverty %,Area,New Case Rate,Case Count,Population,Death Rate,Death Count
114,Erath ,48143.0,56691,5.6,86.0,1.4,1.2,7.9,1.4,21.7,48143.0,78.3,Texas,388.7,870,211130,141.1,316
115,Gregg ,48183.0,56566,3.7,67.4,19.5,1.1,8.2,0.1,19.4,48183.0,80.6,Texas,492.8,3521,618167,170.9,1247
116,Lubbock ,48303.0,56529,4.4,74.1,7.3,2.4,6.3,0.7,36.4,48303.0,63.6,Texas,429.4,6445,1541958,153.7,2316
117,Hardeman ,48197.0,56400,2.5,81.7,1.3,2.5,7.6,0.8,24.9,48197.0,75.1,Texas,417.3,120,19789,151.1,46
118,Colorado ,48089.0,55945,4.5,68.3,12.5,0.7,9.8,0.2,31.0,48089.0,69.0,Texas,413.7,649,106786,152.3,255
119,Freestone ,48161.0,55910,2.7,75.5,14.9,0.4,6.8,0.2,16.4,48161.0,83.6,Texas,441.2,609,98722,172.3,247
120,Fisher ,48151.0,55862,3.8,83.4,2.1,0.2,2.4,0.5,29.1,48151.0,70.9,Texas,453,130,19135,141.4,49
121,Callahan ,48059.0,55820,4.5,92.0,1.0,0.4,1.1,0.1,10.3,48059.0,89.7,Texas,408.6,417,69793,164.9,171
122,Rains ,48379.0,55758,3.9,92.1,2.8,1.1,3.7,0.9,9.5,48379.0,90.5,Texas,439,445,60005,155.9,158
123,Comanche ,48093.0,55743,7.5,80.2,0.5,0.4,8.5,0.8,28.8,48093.0,71.2,Texas,406.8,429,67983,127.5,148
124,Robertson ,48395.0,55709,9.4,70.5,20.5,0.4,4.5,0.1,21.8,48395.0,78.2,Texas,386.2,460,85469,185.5,223
125,Gonzales ,48177.0,55698,0.8,65.2,6.8,0.9,11.8,0.1,51.8,48177.0,48.2,Texas,404.5,515,104142,165.9,220
126,Kimble ,48267.0,55677,2.1,82.6,1.0,no data/suppressed,4.7,0.5,25.4,48267.0,74.6,Texas,414,156,21875,184.1,75
127,Sherman ,48421.0,55667,1.8,79.1,0.1,2.3,22.4,no data/suppressed,45.2,48421.0,54.8,Texas,248.3,43,15229,157.2,28
128,Pecos ,48371.0,55652,1.3,73.5,3.9,1.1,13.7,1.1,69.4,48371.0,30.6,Texas,359,297,78626,127.9,103
129,Jones ,48253.0,55575,5.8,69.7,12.3,0.3,4.2,0.4,28.1,48253.0,71.9,Texas,413,487,99372,165.3,193
130,Moore ,48341.0,55543,2.0,69.8,3.9,4.5,26.0,0.7,57.7,48341.0,42.3,Texas,376,370,105847,133.8,132
131,Sterling ,48431.0,55481,no data/suppressed,76.9,0.1,0.9,6.6,0.2,36.4,48431.0,63.6,Texas,386.4,28,6538,Data not presented,Data not presented
132,Upshur ,48459.0,55046,4.8,84.8,8.1,0.4,3.6,0.4,9.0,48459.0,91.0,Texas,469.6,1299,206931,175.2,495
133,Bowie ,48037.0,54949,4.1,67.7,25.2,1.3,4.4,0.6,8.0,48037.0,92.0,Texas,430.2,2500,468108,174.6,1035
134,Shackelford ,48417.0,54896,7.2,93.2,0.2,0.2,2.8,0.6,12.0,48417.0,88.0,Texas,335.6,79,16456,109.5,29
135,Hemphill ,48211.0,54867,6.2,77.8,1.6,no data/suppressed,16.2,0.2,35.5,48211.0,64.5,Texas,305.9,65,19506,148.3,31
136,Panola ,48365.0,54853,2.8,78.0,13.1,0.8,3.8,0.1,9.1,48365.0,90.9,Texas,454.7,723,115931,184,305
137,Webb ,48479.0,54618,5.8,68.3,0.4,0.5,25.2,0.2,95.5,48479.0,4.5,Texas,331.8,3723,1374233,126,1351
138,Cherokee ,48073.0,54222,6.6,72.4,13.8,0.5,10.1,1.6,23.9,48073.0,76.1,Texas,477.4,1577,261704,159.8,545
139,Floyd ,48153.0,54007,4.5,83.3,4.7,0.2,8.1,0.1,59.3,48153.0,40.7,Texas,391.8,144,28908,144,60
140,Wharton ,48481.0,53963,6.0,73.7,13.2,0.4,8.8,0.1,42.6,48481.0,57.4,Texas,424.7,1111,208359,164.1,444
141,Liberty ,48291.0,53871,8.1,71.8,9.0,0.5,10.2,0.5,29.3,48291.0,70.7,Texas,464.4,2140,430863,194.5,854
142,Titus ,48449.0,53818,5.0,67.1,9.5,0.8,19.5,0.3,44.4,48449.0,55.6,Texas,396,711,163544,160.1,281
143,McLennan ,48309.0,53723,4.7,71.9,14.3,1.7,8.4,0.4,27.0,48309.0,73.0,Texas,441.7,6109,1270225,155.2,2195
144,Jefferson ,48245.0,53613,5.6,51.0,33.4,3.8,12.1,0.4,21.9,48245.0,78.1,Texas,420.9,6081,1265682,154.7,2266
145,Castro ,48069.0,53551,4.1,74.6,1.2,1.3,17.8,0.5,65.5,48069.0,34.5,Texas,338.5,142,37807,125.5,57
146,Reeves ,48389.0,53548,6.5,68.0,2.2,1.4,18.0,0.1,75.1,48389.0,24.9,Texas,321,235,77730,122.8,89
147,Mills ,48333.0,53483,2.4,84.6,0.5,0.2,6.2,0.1,23.9,48333.0,76.1,Texas,411.2,168,24386,169.2,77
148,Scurry ,48415.0,53376,2.9,79.2,4.3,0.6,7.4,0.1,41.6,48415.0,58.4,Texas,390.4,375,84592,161.8,160
149,Wichita ,48485.0,53272,4.7,75.5,10.3,2.3,5.8,0.9,20.0,48485.0,80.0,Texas,472.2,3501,660772,184.5,1402
150,Childress ,48075.0,53092,7.2,74.3,8.8,0.1,7.5,0.4,34.2,48075.0,65.8,Texas,393.1,155,36094,170.5,68
151,Donley ,48129.0,52888,0.1,87.6,6.8,0.2,2.5,0.2,11.8,48129.0,88.2,Texas,341.5,88,16584,175.3,46
152,Live Oak ,48297.0,52870,3.6,91.7,2.3,0.7,5.2,0.2,40.7,48297.0,59.3,Texas,375.5,324,60875,134.7,124
