,County,Alaska Boroughs_x,Income,Uninsured %,White Poverty %,Black Poverty %,Asian Poverty %,Foreign Poverty %,Native Poverty %,Hispanic Poverty %,Non Hispanic Poverty %,Area,Age-Adjusted New Case Rate,Case Count,Population,Age-Adjusted Death Rate,Death Count,Vermont Counties FIPS,Wyoming Counties FIPS,Uninsured,Unnamed: 0.1,FIPS,County FIPS
5,Monroe ,,73153.0,3.7,79.9,7.2,1.4,19.1,0.1,25.1,74.9,Florida,417.4,2494.0,375683.0,140.0,863.0,,,,5.0,12087.0,12087.0
6,Seminole ,,73002.0,4.5,69.4,11.9,4.8,14.7,0.2,22.5,77.5,Florida,456.9,12787.0,2333475.0,145.0,4088.0,,,,6.0,12117.0,12117.0
7,Wakulla ,,72941.0,3.3,80.2,13.5,0.6,2.6,0.3,4.0,96.0,Florida,476.5,962.0,164273.0,169.1,317.0,,,,7.0,12129.0,12129.0
8,Martin ,,69769.0,4.6,85.0,5.6,1.6,10.2,0.4,14.1,85.9,Florida,432.4,6605.0,802102.0,127.9,2308.0,,,,8.0,12085.0,12085.0
9,Sarasota ,,69490.0,3.6,87.9,4.3,1.8,11.8,0.2,9.7,90.3,Florida,475.5,21501.0,2138829.0,132.8,6967.0,,,,9.0,12115.0,12115.0
10,Palm Beach ,,68874.0,6.1,65.4,18.6,2.8,26.3,0.2,23.1,76.9,Florida,419.6,48797.0,7410285.0,122.6,16309.0,,,,10.0,12099.0,12099.0
11,Walton ,,68111.0,4.6,85.8,4.2,0.9,6.8,0.4,6.5,93.5,Florida,377.4,1940.0,355247.0,158.8,806.0,,,,11.0,12131.0,12131.0
12,Okaloosa ,,67390.0,3.9,75.7,9.6,3.7,7.8,0.2,9.8,90.2,Florida,432.6,5413.0,1037149.0,158.0,1999.0,,,,12.0,12091.0,12091.0
13,Orange ,,65784.0,5.7,55.5,20.7,5.3,22.3,0.2,32.6,67.4,Florida,420.6,29120.0,6868919.0,143.2,9465.0,,,,13.0,12095.0,12095.0
14,Manatee ,,64964.0,5.5,80.8,8.3,2.2,13.2,0.2,16.7,83.3,Florida,434.8,14734.0,1969235.0,122.8,4602.0,,,,14.0,12081.0,12081.0
15,Broward ,,64522.0,6.0,52.5,28.5,3.7,34.8,0.2,30.9,69.1,Florida,412.0,50592.0,9711363.0,135.2,17195.0,,,,15.0,12011.0,12011.0
16,Hillsborough ,,64164.0,5.0,63.4,16.5,4.3,18.3,0.3,29.6,70.4,Florida,478.1,38955.0,7256792.0,146.7,11806.0,,,,16.0,12057.0,12057.0
17,Baker ,,63860.0,5.1,79.1,12.6,0.4,1.5,0.3,2.9,97.1,Florida,438.1,710.0,143393.0,175.3,281.0,,,,17.0,12003.0,12003.0
18,Brevard ,,63632.0,4.8,78.8,9.7,2.5,8.8,0.3,11.0,89.0,Florida,497.8,23723.0,2970006.0,156.0,8103.0,,,,18.0,12009.0,12009.0
19,Sumter ,,63323.0,5.5,88.0,7.3,1.0,6.1,0.2,6.0,94.0,Florida,444.8,8196.0,649688.0,129.9,2563.0,,,,19.0,12119.0,12119.0
