,Texas Counties,FIPS,Dollars,Uninsured %,White Poverty %,Black Poverty %,Asian Poverty %,Foreign Poverty %,Native Poverty %,Hispanic Poverty %,Non Hispanic Poverty %
188,"Hale, Texas",48189,48649,4.5,74,4.3,0.4,10.1,0.2,60.6,39.4
189,"Matagorda, Texas",48321,48566,6.3,62.5,10.1,2.2,11.1,0.3,43.8,56.2
190,"Haskell, Texas",48207,48432,6.8,81.6,5.4,no data/suppressed,4.6,0.3,28.8,71.2
191,"Terry, Texas",48445,47734,8,75.6,2.1,no data/suppressed,8.4,0.1,56.2,43.8
192,"Jim Wells, Texas",48249,47629,4.3,90.5,0.8,0.5,3.5,0.7,80.5,19.5
193,"Hansford, Texas",48195,47500,11.3,85,0.2,0.1,19.4,0.7,48.6,51.4
194,"Throckmorton, Texas",48447,47500,5.9,92.4,0.4,no data/suppressed,1.6,no data/suppressed,13.3,86.7
195,"Nacogdoches, Texas",48347,47306,7.4,69.7,18.4,1.1,7.6,0.9,20.1,79.9
196,"Coleman, Texas",48083,47216,6.6,82.8,2.6,1.2,6.5,0.8,18.1,81.9
197,"Terrell, Texas",48443,47012,no data/suppressed,88.5,1.4,no data/suppressed,0.8,no data/suppressed,54.1,45.9
198,"San Saba, Texas",48411,46927,3.4,81.6,1.8,0.3,6.1,0.1,30.7,69.3
199,"Concho, Texas",48095,46719,1.3,85.5,2,0.5,13.4,0.5,34.6,65.4
200,"San Jacinto, Texas",48407,46678,7.7,78.2,9.5,0.2,6.9,0.5,14.3,85.7
201,"McCulloch, Texas",48307,46552,7.7,79.2,1,0.9,5.6,0.3,32.9,67.1
202,"Stephens, Texas",48429,46537,6.5,85,3.2,0.9,5.8,no data/suppressed,24.6,75.4
203,"Morris, Texas",48343,46468,5.7,69,22.3,1.5,5.4,0.3,10.7,89.3
204,"Trinity, Texas",48455,45392,8.4,83.9,8.5,0.1,4.1,0.2,11.1,88.9
205,"Wilbarger, Texas",48487,45262,8.7,71.8,7.7,3.2,6.1,1.1,30.3,69.7
206,"Potter, Texas",48375,45096,3.6,72.1,10.2,5.3,15.6,0.8,39.4,60.6
207,"Nolan, Texas",48353,44700,8,80.8,4.9,0.4,6.5,0.3,39,61
208,"Hidalgo, Texas",48215,44666,7.8,64.4,0.6,1,26.1,0.2,92.5,7.5
209,"Zavala, Texas",48507,44573,3.7,74.7,0.4,0.3,5.4,no data/suppressed,93.9,6.1
210,"Shelby, Texas",48419,44504,6,73,18.6,0.5,8,1.4,18.8,81.2
211,"Maverick, Texas",48323,44502,7,67.3,0.4,0.1,29.5,2.2,95.1,4.9
212,"Jasper, Texas",48241,44356,13.7,75.8,15.5,0.4,3.1,0.2,7.1,92.9
213,"Crosby, Texas",48107,44304,4.7,77.4,4.1,0.9,5.9,no data/suppressed,56.7,43.3
214,"Walker, Texas",48471,44104,4.6,68.2,22.9,1.4,7.4,0.2,18.3,81.7
215,"Real, Texas",48385,44083,1.4,95.8,1.4,no data/suppressed,1.9,no data/suppressed,23.1,76.9
216,"Hamilton, Texas",48193,44030,3.7,91.9,0.3,0.1,4.9,0.2,13.6,86.4
217,"Eastland, Texas",48133,43953,5.5,88.9,2.2,0.4,4.7,0.5,17.1,82.9
218,"Duval, Texas",48131,43836,10.3,82.8,1,no data/suppressed,2.9,0.4,89.3,10.7
219,"Baylor, Texas",48023,43705,3.5,85.4,4.1,1,2.8,0.2,14.2,85.8
220,"Cottle, Texas",48101,43654,3.8,73.3,7.1,no data/suppressed,no data/suppressed,0.1,20.6,79.4
221,"Houston, Texas",48225,43644,4.5,67.6,24.9,0.3,3,0.3,11.9,88.1
222,"Marion, Texas",48315,43153,11.7,72.2,22.5,0.7,2,0.2,4.5,95.5
